date,vessels,avg_wait_hours,congestion_score,src
2025-07-29,83,35.0,61,demo
2025-07-30,86,31.0,57,demo
2025-07-31,89,36.0,62,demo
2025-08-01,92,32.0,58,demo
2025-08-02,95,37.0,63,demo
2025-08-03,98,33.0,59,demo
2025-08-04,101,38.0,64,demo
2025-08-05,104,34.0,60,demo
2025-08-06,107,30.0,56,demo
2025-08-07,110,35.0,61,demo
2025-08-08,113,31.0,57,demo
2025-08-09,116,36.0,62,demo
2025-08-10,119,32.0,58,demo
2025-08-11,82,37.0,63,demo
2025-08-12,85,33.0,59,demo
2025-08-13,88,38.0,64,demo
2025-08-14,91,34.0,60,demo
2025-08-15,94,30.0,56,demo
2025-08-16,97,35.0,61,demo
2025-08-17,100,31.0,57,demo
2025-08-18,103,36.0,62,demo
2025-08-19,106,32.0,58,demo
2025-08-20,109,37.0,63,demo
2025-08-21,112,33.0,59,demo
2025-08-22,115,38.0,64,demo
2025-08-23,118,34.0,60,demo
2025-08-24,81,30.0,56,demo
2025-08-25,84,35.0,61,demo
2025-08-26,87,31.0,57,demo
2025-08-27,87,31.0,57,nowcast
