date,vessels,avg_wait_hours,congestion_score,src
2025-07-29,83,32.0,58,demo
2025-07-30,86,28.0,54,demo
2025-07-31,89,33.0,59,demo
2025-08-01,92,29.0,55,demo
2025-08-02,95,34.0,60,demo
2025-08-03,98,30.0,56,demo
2025-08-04,101,35.0,61,demo
2025-08-05,104,31.0,57,demo
2025-08-06,107,27.0,53,demo
2025-08-07,110,32.0,58,demo
2025-08-08,113,28.0,54,demo
2025-08-09,116,33.0,59,demo
2025-08-10,119,29.0,55,demo
2025-08-11,82,34.0,60,demo
2025-08-12,85,30.0,56,demo
2025-08-13,88,35.0,61,demo
2025-08-14,91,31.0,57,demo
2025-08-15,94,27.0,53,demo
2025-08-16,97,32.0,58,demo
2025-08-17,100,28.0,54,demo
2025-08-18,103,33.0,59,demo
2025-08-19,106,29.0,55,demo
2025-08-20,109,34.0,60,demo
2025-08-21,112,30.0,56,demo
2025-08-22,115,35.0,61,demo
2025-08-23,118,31.0,57,demo
2025-08-24,81,27.0,53,demo
2025-08-25,84,32.0,58,demo
2025-08-26,87,28.0,54,demo
2025-08-27,87,28.0,54,nowcast
