date,vessels,avg_wait_hours,congestion_score,src
2025-07-29,83,30.0,56,demo
2025-07-30,86,26.0,52,demo
2025-07-31,89,31.0,57,demo
2025-08-01,92,27.0,53,demo
2025-08-02,95,32.0,58,demo
2025-08-03,98,28.0,54,demo
2025-08-04,101,33.0,59,demo
2025-08-05,104,29.0,55,demo
2025-08-06,107,25.0,51,demo
2025-08-07,110,30.0,56,demo
2025-08-08,113,26.0,52,demo
2025-08-09,116,31.0,57,demo
2025-08-10,119,27.0,53,demo
2025-08-11,82,32.0,58,demo
2025-08-12,85,28.0,54,demo
2025-08-13,88,33.0,59,demo
2025-08-14,91,29.0,55,demo
2025-08-15,94,25.0,51,demo
2025-08-16,97,30.0,56,demo
2025-08-17,100,26.0,52,demo
2025-08-18,103,31.0,57,demo
2025-08-19,106,27.0,53,demo
2025-08-20,109,32.0,58,demo
2025-08-21,112,28.0,54,demo
2025-08-22,115,33.0,59,demo
2025-08-23,118,29.0,55,demo
2025-08-24,81,25.0,51,demo
2025-08-25,84,30.0,56,demo
2025-08-26,87,26.0,52,demo
2025-08-27,87,26.0,52,nowcast
