date,vessels,avg_wait_hours,congestion_score,src
2025-07-29,83,31.0,57,demo
2025-07-30,86,27.0,53,demo
2025-07-31,89,32.0,58,demo
2025-08-01,92,28.0,54,demo
2025-08-02,95,33.0,59,demo
2025-08-03,98,29.0,55,demo
2025-08-04,101,34.0,60,demo
2025-08-05,104,30.0,56,demo
2025-08-06,107,26.0,52,demo
2025-08-07,110,31.0,57,demo
2025-08-08,113,27.0,53,demo
2025-08-09,116,32.0,58,demo
2025-08-10,119,28.0,54,demo
2025-08-11,82,33.0,59,demo
2025-08-12,85,29.0,55,demo
2025-08-13,88,37.0,63,demo
2025-08-14,91,33.0,59,demo
2025-08-15,94,29.0,55,demo
2025-08-16,97,34.0,60,demo
2025-08-17,100,30.0,56,demo
2025-08-18,103,35.0,61,demo
2025-08-19,106,31.0,57,demo
2025-08-20,109,36.0,62,demo
2025-08-21,112,32.0,58,demo
2025-08-22,115,37.0,63,demo
2025-08-23,118,33.0,59,demo
2025-08-24,81,29.0,55,demo
2025-08-25,84,34.0,60,demo
2025-08-26,87,30.0,56,demo
2025-08-27,87,30.0,56,nowcast
