date,vessels,avg_wait_hours,congestion_score,src
2025-07-29,83,33.0,59,demo
2025-07-30,86,29.0,55,demo
2025-07-31,89,34.0,60,demo
2025-08-01,92,30.0,56,demo
2025-08-02,95,35.0,61,demo
2025-08-03,98,31.0,57,demo
2025-08-04,101,36.0,62,demo
2025-08-05,104,32.0,58,demo
2025-08-06,107,28.0,54,demo
2025-08-07,110,33.0,59,demo
2025-08-08,113,29.0,55,demo
2025-08-09,116,34.0,60,demo
2025-08-10,119,30.0,56,demo
2025-08-11,82,35.0,61,demo
2025-08-12,85,31.0,57,demo
2025-08-13,88,36.0,62,demo
2025-08-14,91,32.0,58,demo
2025-08-15,94,28.0,54,demo
2025-08-16,97,33.0,59,demo
2025-08-17,100,29.0,55,demo
2025-08-18,103,34.0,60,demo
2025-08-19,106,30.0,56,demo
2025-08-20,109,35.0,61,demo
2025-08-21,112,31.0,57,demo
2025-08-22,115,36.0,62,demo
2025-08-23,118,32.0,58,demo
2025-08-24,81,28.0,54,demo
2025-08-25,84,33.0,59,demo
2025-08-26,87,29.0,55,demo
2025-08-27,87,29.0,55,nowcast
