date,vessels,avg_wait_hours,congestion_score,src
2025-07-29,83,29.0,55,demo
2025-07-30,86,25.0,51,demo
2025-07-31,89,30.0,56,demo
2025-08-01,92,26.0,52,demo
2025-08-02,95,31.0,57,demo
2025-08-03,98,27.0,53,demo
2025-08-04,101,32.0,58,demo
2025-08-05,104,28.0,54,demo
2025-08-06,107,24.0,50,demo
2025-08-07,110,29.0,55,demo
2025-08-08,113,25.0,51,demo
2025-08-09,116,30.0,56,demo
2025-08-10,119,26.0,52,demo
2025-08-11,82,31.0,57,demo
2025-08-12,85,27.0,53,demo
2025-08-13,88,32.0,58,demo
2025-08-14,91,28.0,54,demo
2025-08-15,94,24.0,50,demo
2025-08-16,97,29.0,55,demo
2025-08-17,100,25.0,51,demo
2025-08-18,103,30.0,56,demo
2025-08-19,106,26.0,52,demo
2025-08-20,109,31.0,57,demo
2025-08-21,112,27.0,53,demo
2025-08-22,115,32.0,58,demo
2025-08-23,118,28.0,54,demo
2025-08-24,81,24.0,50,demo
2025-08-25,84,29.0,55,demo
2025-08-26,87,25.0,51,demo
2025-08-27,87,25.0,51,nowcast
